experiment_type,epoch,total_loss,data_loss,phys_loss,ic_loss,energy_drift,angular_momentum_drift,hamiltonian_violation,bound_max_dev,escape_max_dev,capture_max_dev
Full PINN,0,640358.2828050562,2.4760089564967798,32012.676401866695,0.9854912839427188,0.23525846,0.17620899,0.99627066,30.660791551664616,68.62236879818829,13.135949486847116
Full PINN,50,0.5433367925721246,0.3449360108053362,1.1448576524467294e-05,0.00254035325299294,0.04631622,0.072013274,0.019140163,29.327760626226656,28.903530002137614,9.040184664128418
Full PINN,100,0.4856639037261138,0.16773090249783285,0.00048523075167542775,0.0020025814254138923,0.09807446,0.16005422,0.07095625,45.98093719916721,38.26264559854192,7.76686091280331
Full PINN,150,0.2423271347542067,0.1044842578672074,1.464693956665075e-05,0.000624523262534215,0.023812233,0.038610585,0.016876003,25.56866673319123,38.884315542807606,6.483734187530677
Full PINN,200,0.10341850990379178,0.06746002387356113,1.3031353183897727e-05,0.0001426057967143385,0.007568022,0.027228592,0.0040288754,20.74841614532962,55.327195080564366,5.597847164474288
Full PINN,250,0.07155590061400388,0.04182021752805323,0.00018214790867893276,0.00012284008275978645,0.06466312,0.060536653,0.011553207,23.608446418694594,31.01861666144346,5.614606228087284
Full PINN,299,0.04430862324866089,0.033026045339333045,9.787999934397285e-05,4.53877369059105e-05,0.047788184,0.040709496,0.0077589606,19.39531873171668,36.155831165322105,5.296389217175496
