experiment_type,epoch,total_loss,data_loss,phys_loss,ic_loss,energy_drift,angular_momentum_drift,hamiltonian_violation,bound_max_dev,escape_max_dev,capture_max_dev
Stage4-LongTrain,520,0.00083311166098291,0.0003864761950083178,4.592707000483642e-06,4.2556922869300396e-06,0,0,0,0,0,0
Stage4-LongTrain,530,0.005937524215393775,0.0010147204518796422,1.2541916623524378e-05,7.437134312616813e-05,0,0,0,0,0,0
Stage4-LongTrain,540,0.0018557852473915428,0.0005617512309785328,6.041173307764709e-06,1.495545501637861e-05,0,0,0,0,0,0
Stage4-LongTrain,550,0.001985421934404184,0.001364966800964966,4.804240277096412e-06,4.9236301489710626e-06,0,0,0,0,0,0
Stage4-LongTrain,560,0.0012637870921124075,0.0004135315035897735,5.050314079248032e-06,9.134720271872908e-06,0,0,0,0,0,0
Stage4-LongTrain,570,0.002123796777497675,0.0008597948267502157,6.81365397237666e-06,1.687325873324487e-05,0,0,0,0,0,0
Stage4-LongTrain,580,0.0024029770394082407,0.0005702993036499498,8.189712567351259e-06,2.420424494335453e-05,0,0,0,0,0,0
Stage4-LongTrain,590,0.003047874502560778,0.001388341378785569,6.334269934037316e-06,1.993367161933723e-05,0,0,0,0,0,0
Stage4-LongTrain,600,0.001346893097286591,0.0003985995261590122,4.879725461373832e-06,1.1674925614184954e-05,0,0,0,0,0,0
Stage4-LongTrain,610,0.0006461067037103144,0.00033943188247723957,4.578043899527984e-06,2.5203677772559466e-06,0,0,0,0,0,0
Stage4-LongTrain,620,0.0028252171547580008,0.0006497332793219972,8.511010418186669e-06,3.0184357812588035e-05,0,0,0,0,0,0
Stage4-LongTrain,630,0.005081135131469047,0.0008373067036233339,8.734650150841304e-06,4.6012172419609304e-05,0,0,0,0,0,0
Stage4-LongTrain,640,0.001298319866150819,0.0005219419545028359,4.927081541560206e-06,1.0465914187620541e-05,0,0,0,0,0,0
Stage4-LongTrain,650,0.0010929880695216157,0.0004263353782605279,4.913855073519281e-06,7.093508441824737e-06,0,0,0,0,0,0
Stage4-LongTrain,660,0.0004931467096006649,0.0003018612167923837,4.057791618440722e-06,7.684217391639519e-07,0,0,0,0,0,0
Stage4-LongTrain,670,0.0011040032007479789,0.00043023324955405816,5.634507549591551e-06,7.994910705550668e-06,0,0,0,0,0,0
Stage4-LongTrain,680,0.0006426932515161163,0.0003256628752333691,4.1743680621702636e-06,2.5313393290911633e-06,0,0,0,0,0,0
Stage4-LongTrain,690,0.0006096091049068884,0.0003056639594630011,4.207393111436112e-06,2.5441011905206472e-06,0,0,0,0,0,0
Stage4-LongTrain,700,0.000998022490986497,0.00036775287023644795,4.311716148131873e-06,7.274164102921999e-06,0,0,0,0,0,0
Stage4-LongTrain,710,0.0010266050859983708,0.000369230006834039,4.800528807430277e-06,7.486105165003824e-06,0,0,0,0,0,0
