Epoch 440 | Total: 6.39e-01 | Phys: 1.72e-05 | Data: 3.19e-01 | IC: 7.49e-03 | Phys/Data: 5.40e-05
Epoch 450 | Total: 4.18e-01 | Phys: 1.77e-05 | Data: 2.83e-01 | IC: 6.02e-03 | Phys/Data: 6.23e-05
Epoch 460 | Total: 4.82e-01 | Phys: 1.95e-05 | Data: 3.23e-01 | IC: 6.32e-03 | Phys/Data: 6.02e-05
Epoch 470 | Total: 9.55e-01 | Phys: 9.18e-06 | Data: 2.89e-01 | IC: 1.42e-02 | Phys/Data: 3.17e-05
Epoch 480 | Total: 6.57e-01 | Phys: 1.66e-05 | Data: 3.07e-01 | IC: 1.02e-02 | Phys/Data: 5.41e-05
Epoch 490 | Total: 5.08e-01 | Phys: 1.74e-05 | Data: 2.82e-01 | IC: 6.71e-03 | Phys/Data: 6.15e-05
Epoch 500 | Total: 4.14e-01 | Phys: 1.31e-05 | Data: 2.64e-01 | IC: 4.72e-03 | Phys/Data: 4.96e-05
Epoch 510 | Total: 8.68e-01 | Phys: 1.53e-05 | Data: 2.78e-01 | IC: 9.63e-03 | Phys/Data: 5.52e-05
Epoch 520 | Total: 5.89e-01 | Phys: 1.81e-05 | Data: 2.86e-01 | IC: 8.36e-03 | Phys/Data: 6.33e-05
Epoch 530 | Total: 5.93e-01 | Phys: 9.07e-06 | Data: 2.96e-01 | IC: 7.53e-03 | Phys/Data: 3.07e-05
Epoch 540 | Total: 6.18e-01 | Phys: 1.11e-05 | Data: 2.61e-01 | IC: 9.31e-03 | Phys/Data: 4.26e-05
Epoch 550 | Total: 5.70e-01 | Phys: 1.05e-05 | Data: 2.92e-01 | IC: 7.97e-03 | Phys/Data: 3.61e-05
Epoch 560 | Total: 8.64e-01 | Phys: 1.15e-05 | Data: 3.03e-01 | IC: 1.05e-02 | Phys/Data: 3.80e-05
Epoch 570 | Total: 7.83e-01 | Phys: 9.92e-06 | Data: 2.49e-01 | IC: 1.07e-02 | Phys/Data: 3.99e-05
Epoch 580 | Total: 3.90e-01 | Phys: 9.38e-06 | Data: 2.47e-01 | IC: 5.36e-03 | Phys/Data: 3.79e-05
Epoch 590 | Total: 3.37e-01 | Phys: 9.48e-06 | Data: 2.59e-01 | IC: 4.31e-03 | Phys/Data: 3.66e-05
Epoch 600 | Total: 3.72e-01 | Phys: 1.09e-05 | Data: 2.42e-01 | IC: 4.30e-03 | Phys/Data: 4.50e-05
Epoch 610 | Total: 3.23e-01 | Phys: 9.03e-06 | Data: 2.64e-01 | IC: 4.25e-03 | Phys/Data: 3.42e-05
Epoch 620 | Total: 3.89e-01 | Phys: 1.57e-05 | Data: 2.31e-01 | IC: 5.58e-03 | Phys/Data: 6.79e-05
Epoch 630 | Total: 3.78e-01 | Phys: 9.35e-06 | Data: 2.33e-01 | IC: 5.48e-03 | Phys/Data: 4.02e-05
Epoch 640 | Total: 3.25e-01 | Phys: 1.32e-05 | Data: 2.14e-01 | IC: 4.59e-03 | Phys/Data: 6.18e-05
Epoch 650 | Total: 4.83e-01 | Phys: 1.16e-05 | Data: 2.52e-01 | IC: 6.14e-03 | Phys/Data: 4.60e-05
Epoch 660 | Total: 3.67e-01 | Phys: 1.31e-05 | Data: 2.37e-01 | IC: 4.36e-03 | Phys/Data: 5.54e-05
Epoch 670 | Total: 9.86e-01 | Phys: 8.96e-06 | Data: 2.69e-01 | IC: 1.43e-02 | Phys/Data: 3.33e-05
Epoch 680 | Total: 4.86e-01 | Phys: 7.54e-06 | Data: 2.27e-01 | IC: 6.69e-03 | Phys/Data: 3.32e-05
Epoch 690 | Total: 1.12e+00 | Phys: 9.71e-06 | Data: 2.19e-01 | IC: 1.80e-02 | Phys/Data: 4.43e-05
Epoch 700 | Total: 3.94e-01 | Phys: 9.40e-06 | Data: 2.18e-01 | IC: 6.13e-03 | Phys/Data: 4.31e-05
Epoch 710 | Total: 4.41e-01 | Phys: 9.88e-06 | Data: 2.07e-01 | IC: 6.04e-03 | Phys/Data: 4.78e-05
Epoch 720 | Total: 5.39e-01 | Phys: 9.43e-06 | Data: 2.59e-01 | IC: 6.00e-03 | Phys/Data: 3.64e-05
Epoch 730 | Total: 5.53e-01 | Phys: 8.13e-06 | Data: 1.87e-01 | IC: 9.39e-03 | Phys/Data: 4.36e-05
Epoch 740 | Total: 4.53e-01 | Phys: 7.50e-06 | Data: 2.28e-01 | IC: 4.45e-03 | Phys/Data: 3.29e-05
Epoch 750 | Total: 5.67e-01 | Phys: 1.47e-05 | Data: 2.44e-01 | IC: 6.58e-03 | Phys/Data: 6.04e-05
Epoch 760 | Total: 3.28e-01 | Phys: 1.13e-05 | Data: 2.67e-01 | IC: 3.15e-03 | Phys/Data: 4.23e-05
Epoch 770 | Total: 3.97e-01 | Phys: 1.08e-05 | Data: 2.12e-01 | IC: 5.14e-03 | Phys/Data: 5.11e-05
Epoch 780 | Total: 3.07e-01 | Phys: 1.23e-05 | Data: 2.09e-01 | IC: 3.79e-03 | Phys/Data: 5.89e-05
Epoch 790 | Total: 3.42e-01 | Phys: 1.42e-05 | Data: 2.31e-01 | IC: 3.72e-03 | Phys/Data: 6.15e-05
Epoch 800 | Total: 3.63e-01 | Phys: 1.23e-05 | Data: 2.26e-01 | IC: 4.87e-03 | Phys/Data: 5.46e-05
Epoch 810 | Total: 5.25e-01 | Phys: 1.22e-05 | Data: 2.33e-01 | IC: 5.48e-03 | Phys/Data: 5.22e-05
Epoch 820 | Total: 5.28e-01 | Phys: 9.89e-06 | Data: 1.61e-01 | IC: 5.37e-03 | Phys/Data: 6.13e-05
Epoch 830 | Total: 5.46e-01 | Phys: 1.09e-05 | Data: 2.56e-01 | IC: 5.86e-03 | Phys/Data: 4.27e-05
Epoch 840 | Total: 3.49e-01 | Phys: 8.89e-06 | Data: 1.98e-01 | IC: 4.40e-03 | Phys/Data: 4.49e-05
Epoch 850 | Total: 6.84e-01 | Phys: 1.26e-05 | Data: 2.12e-01 | IC: 1.16e-02 | Phys/Data: 5.97e-05
Epoch 860 | Total: 3.24e-01 | Phys: 1.10e-05 | Data: 2.29e-01 | IC: 3.28e-03 | Phys/Data: 4.78e-05
Epoch 870 | Total: 4.44e-01 | Phys: 6.94e-06 | Data: 1.91e-01 | IC: 6.92e-03 | Phys/Data: 3.63e-05
Epoch 880 | Total: 4.01e-01 | Phys: 1.00e-05 | Data: 1.67e-01 | IC: 6.09e-03 | Phys/Data: 6.01e-05
Epoch 890 | Total: 3.65e-01 | Phys: 7.62e-06 | Data: 1.86e-01 | IC: 4.47e-03 | Phys/Data: 4.09e-05
Epoch 900 | Total: 4.14e-01 | Phys: 8.67e-06 | Data: 2.31e-01 | IC: 5.68e-03 | Phys/Data: 3.75e-05
Epoch 910 | Total: 5.05e-01 | Phys: 1.12e-05 | Data: 1.97e-01 | IC: 7.92e-03 | Phys/Data: 5.70e-05
Epoch 920 | Total: 3.17e-01 | Phys: 1.16e-05 | Data: 2.00e-01 | IC: 3.65e-03 | Phys/Data: 5.80e-05
Epoch 930 | Total: 1.04e+00 | Phys: 8.87e-06 | Data: 1.73e-01 | IC: 1.89e-02 | Phys/Data: 5.13e-05
Epoch 940 | Total: 7.08e-01 | Phys: 1.07e-05 | Data: 1.81e-01 | IC: 5.64e-03 | Phys/Data: 5.90e-05
Epoch 950 | Total: 4.17e-01 | Phys: 1.54e-05 | Data: 2.35e-01 | IC: 6.14e-03 | Phys/Data: 6.52e-05
Epoch 960 | Total: 3.64e-01 | Phys: 9.96e-06 | Data: 1.94e-01 | IC: 4.44e-03 | Phys/Data: 5.14e-05
Epoch 970 | Total: 3.05e-01 | Phys: 2.04e-05 | Data: 1.25e-01 | IC: 2.75e-03 | Phys/Data: 1.63e-04
Epoch 980 | Total: 2.89e-01 | Phys: 1.39e-05 | Data: 1.59e-01 | IC: 2.02e-03 | Phys/Data: 8.72e-05
Epoch 990 | Total: 2.83e-01 | Phys: 8.98e-06 | Data: 1.87e-01 | IC: 3.90e-03 | Phys/Data: 4.79e-05
Epoch 1000 | Total: 4.29e-01 | Phys: 1.48e-05 | Data: 1.63e-01 | IC: 4.07e-03 | Phys/Data: 9.11e-05
Epoch 1010 | Total: 4.17e-01 | Phys: 8.45e-06 | Data: 1.91e-01 | IC: 5.79e-03 | Phys/Data: 4.43e-05
Epoch 1020 | Total: 3.26e-01 | Phys: 1.13e-05 | Data: 1.82e-01 | IC: 3.46e-03 | Phys/Data: 6.25e-05
Epoch 1030 | Total: 8.29e-01 | Phys: 1.10e-05 | Data: 1.74e-01 | IC: 1.47e-02 | Phys/Data: 6.32e-05
Epoch 1040 | Total: 5.01e-01 | Phys: 1.38e-05 | Data: 1.21e-01 | IC: 8.05e-03 | Phys/Data: 1.15e-04
Epoch 1050 | Total: 3.51e-01 | Phys: 7.45e-06 | Data: 2.20e-01 | IC: 4.95e-03 | Phys/Data: 3.38e-05
Epoch 1060 | Total: 4.35e-01 | Phys: 1.46e-05 | Data: 2.24e-01 | IC: 5.82e-03 | Phys/Data: 6.53e-05
Epoch 1070 | Total: 6.81e-01 | Phys: 1.21e-05 | Data: 1.73e-01 | IC: 1.17e-02 | Phys/Data: 6.99e-05
Epoch 1080 | Total: 3.47e-01 | Phys: 8.87e-06 | Data: 1.58e-01 | IC: 4.87e-03 | Phys/Data: 5.63e-05
Epoch 1090 | Total: 3.19e-01 | Phys: 1.04e-05 | Data: 1.44e-01 | IC: 4.37e-03 | Phys/Data: 7.18e-05
Epoch 1100 | Total: 9.27e-01 | Phys: 1.09e-05 | Data: 1.47e-01 | IC: 1.58e-02 | Phys/Data: 7.42e-05
Epoch 1110 | Total: 2.98e-01 | Phys: 8.15e-06 | Data: 1.18e-01 | IC: 4.02e-03 | Phys/Data: 6.93e-05
Epoch 1120 | Total: 6.45e-01 | Phys: 1.79e-05 | Data: 1.28e-01 | IC: 9.45e-03 | Phys/Data: 1.40e-04
Epoch 1130 | Total: 2.99e-01 | Phys: 1.00e-05 | Data: 1.31e-01 | IC: 4.39e-03 | Phys/Data: 7.63e-05
Epoch 1140 | Total: 3.79e-01 | Phys: 9.26e-06 | Data: 1.08e-01 | IC: 4.87e-03 | Phys/Data: 8.60e-05
Epoch 1150 | Total: 5.58e-01 | Phys: 1.03e-05 | Data: 1.12e-01 | IC: 9.33e-03 | Phys/Data: 9.26e-05
